epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.287,1.17337,2.9309,2.3956,1.3999,0.99952,0.33113,0.33321,0.32895,0.99952,0.33113,0.33639,0.31511,1.05274,3.11098,2.74236,1.08245,0.00045728,0.00045728,0.00045728
2,474.741,0.9692,1.70651,1.26614,1.19623,0.99477,0.33113,0.58625,0.46302,0.99477,0.33113,0.5921,0.44353,1.10935,1.98484,2.23937,1.01736,0.000836894,0.000836894,0.000836894
3,719.314,0.91444,1.58659,1.07283,1.16601,0.72615,0.5779,0.75127,0.51806,0.73428,0.57711,0.75186,0.48192,1.14758,2.06184,2.1936,1.08102,0.00112314,0.00112314,0.00112314
4,960.938,0.89896,1.50055,0.97212,1.15988,0.83799,0.80888,0.83452,0.60489,0.84044,0.81024,0.82311,0.55331,0.97282,2.11051,1.0649,0.91817,0.00100459,0.00100459,0.00100459
5,1207.6,0.84381,1.41083,0.90405,1.13139,0.88137,0.79764,0.86319,0.64877,0.88818,0.80369,0.86503,0.62702,0.93406,1.51,1.06932,0.91127,0.000863116,0.000863116,0.000863116
6,2893.28,0.82528,1.30599,0.81806,1.10548,0.91179,0.8503,0.88518,0.66632,0.91797,0.85584,0.89442,0.64271,0.91324,1.4682,0.96175,0.91327,0.000721645,0.000721645,0.000721645
7,3139.41,0.78184,1.26323,0.75848,1.09373,0.93748,0.86799,0.90291,0.70398,0.94016,0.87121,0.90213,0.67599,0.88733,1.36726,0.82744,0.88499,0.000580174,0.000580174,0.000580174
8,3396.76,0.75525,1.20255,0.71887,1.06345,0.95144,0.86925,0.91858,0.70606,0.94862,0.88094,0.92207,0.67795,0.88532,1.33071,0.83371,0.89546,0.000438703,0.000438703,0.000438703
9,3651.16,0.73683,1.15487,0.67412,1.06235,0.94476,0.88817,0.91853,0.71515,0.95379,0.89193,0.92334,0.70145,0.84657,1.25758,0.76387,0.86894,0.000297232,0.000297232,0.000297232
10,3909.64,0.70309,1.09251,0.63325,1.06363,0.94322,0.88596,0.92171,0.72924,0.9514,0.89268,0.92268,0.71043,0.83479,1.23577,0.75496,0.86075,0.000155761,0.000155761,0.000155761
